,num,BRAND,SUBCATEGORIES,SUB_DISTRICT,ADDRESS,CONTACT,TIME,Facebook,Instagram,Homepage,Evidence,Evidence_link
21,02e03672-b4cf-4b44-9492-382a540836de,咖啡賞館 Browny Cafe,Cafe/麵包或蛋糕,荃灣,荃灣西樓角道202-216號荃昌中心昌寧商場地下66A號舖,68210145,"星期一至五11:00-22:00
星期六至日10:00-22:00",brownycafeTW,brownycafe,,"12/6, 5/8參與罷市",https://www.facebook.com/brownycafeTW/photos/2310286595751196/?type=3&theater
77,0c0b3cb0-5738-4d2a-8c05-61a13fcf5160,秘,日本菜/居酒屋,荃灣,荃灣享成街22號地舖,23509177,"星期一至日12:00-15:00,18:00-22:00",secretchefss,,,5/8參與罷市,https://www.facebook.com/secretchefss/photos/1105054709684781/?type=3&theater
88,0ddda1a8-dc7e-4287-abe3-9c4e98df5663,Dear Sweets,烘焙課程/麵包或蛋糕,荃灣,"荃灣灰窰角街2 DAN6, 16樓J室",97270307,須預約,dearsweetsb,dear.sweets,,"1/10,11-13/11,9/12罷市,製作PEPE蛋糕,製作示威標語揮春,參與「黃色商界聯署」",https://www.facebook.com/dearsweetsb/photos/430841214258527
97,0e80efd0-6014-48ce-a2d9-c361f4a3241c,Book B Kitchen Mealmeal,日本菜/Cafe/麵包或蛋糕/茶類飲品/甜品/果汁,荃灣,荃灣白田壩街45號南豐紗廠六廠1樓111號舖,/,星期一至日12:00-19:00,bookbkitchenmealmeal,bookbkitchenmealmeal,,"12/6, 5/8罷市",https://www.instagram.com/p/ByiLo-MggYN/
100,0ee1d00b-b23a-4a2b-9f0d-61c5a0844314,Sogno Gelato,雪糕/小食店,荃灣,荃灣楊屋道1號荃新天地2期UG樓85號舖,60984187,"星期一至五12:00-22:30
星期六至日11:30-22:30",Sogno.Gelato.HK,sogno_gelato_hk,,"義捐患癌良心老闆, 12/6, 5/8罷市,店內設連儂牆, 12/6, 1/7, 5/8提供物資及地方俾荃灣罷市集會既人仕",https://www.facebook.com/Sogno.Gelato.HK/photos/437520626906408/?type=3
104,0f5a079c-62b0-47c8-8249-f7b8f13202a6,Chicken pocha,韓國菜,荃灣,荃灣荃貴街18號富麗花園商場A座13及16號地舖,25562886,星期一至日13:00-00:00,,,,店內張貼「香港人非暴力示威」,https://ibb.co/zhbHNmW
116,11ed7601-4850-4857-bda2-5336a5f0d903,616牛肉火鍋專門店,火鍋/港式/酒精飲品,荃灣,荃灣三陂坊14-18號安安樓地下B舖,90234199,星期一至日17:00-01:00,616hotpot,616hotpothk,,"19/6呼籲登記做選民, 22/7元朗店休市並將facebook頭像轉黑, 5/8大埔荃灣銅鑼灣三間分店休市, 支持醫護罷工",https://www.facebook.com/616hotpot/posts/2675914799320283
166,1d3c70ac-59bc-461d-a31a-a9e2b7e11d84,團日式拉麵,日本菜/拉麵,荃灣,荃灣大屋街18號金豐閣地下1-2號舖,24882322,"星期一至日12:00-15:30,18:00-22:30",unityramen,unityramen,https://restaurant-37062.business.site/,"免費派發生理鹽水, 5/8, 1/10參與罷市",https://www.facebook.com/unityramen/photos/1297354283755631/?type=3&theater
181,20bb04db-8e68-4208-8ecc-ce115b610bcd,牛県,扒房,荃灣,荃灣享和街49號地下D1號舖,22433038,"星期一至日12:00-15:00,18:00-22:30",牛県-104851700863336,ushicitystonegrill,,"武漢肺炎期間暫不招待內地人,免費派發濃縮漂白水給街坊",https://www.facebook.com/104851700863336/photos/182206589794513/?type=3&theater
196,239a50eb-ce17-4e38-a468-89f198671310,diff.cafe,西式/Cafe,荃灣,荃灣享和街16號,55159350 (Whatsapp),"星期一至五11:00-20:30
星期六及日12:00-20:30",DiffcafeTsuenWan,diff.cafe,,"29/1罷市, 支持醫護罷工, IG 有「香港人報仇」highlight及文宣, 捐款至國際特赦組織香港分會",https://www.instagram.com/p/B73x9dehy4R/
